"","rule","N","B","L","nEvents","gk","qk","qK","tk","tK","AHRk.H1","AHRK.H1","H1.pow.nbind","H1.pow.bind","H1.powloss","H1.pr.S","H1.cpk","H1.AE","H1.AN","H1.AL","H0.pr.S","H0.cpk","H0.AE","H0.AN","H0.AL","etak"
"1","CP1AE",680,34,46.9458858275778,508,0.65,0.35,1,22.3118818564024,46.9458878732091,0.75,0.75,0.900087152320222,0.873332595575892,0.0267545567443297,0.0502997784339543,0.65,491.391013161108,668.241804941343,45.706802828623,0.608743801314131,0.65,306.992796806074,522.684695191772,29.849374011562,NA
"2","CP1AN",680,34,46.9458858275778,508,0.65,0.35,1,22.3118818564024,46.9458878732091,0.75,0.75,0.900087152320222,0.873332595575892,0.0267545567443297,0.0502997784339543,0.65,491.391013161108,668.241804941343,45.706802828623,0.608743801314131,0.65,306.992796806074,522.684695191772,29.849374011562,NA
"3","CP1AL",680,34,46.9458858275778,508,0.65,0.35,1,22.3118818564024,46.9458878732091,0.75,0.75,0.900087152320222,0.873332595575892,0.0267545567443297,0.0502997784339543,0.65,491.391013161108,668.241804941343,45.706802828623,0.608743801314131,0.65,306.992796806074,522.684695191772,29.849374011562,NA
"4","Xi1",680,34,46.9458858275778,508,NA,0.4,1,24.161747856553,46.9458878732091,0.75,0.75,0.900087152320222,0.869596440919072,0.0304907114011499,0.0593293130987558,0.648410483948146,489.916425367499,668.326065164739,45.594120496475,0.687933050582609,0.648410483948146,298.318006182421,526.534302434792,29.2899197352849,-0.49
"5","KF1",680,34,46.9458858275778,508,NA,0.50000014304143,1,27.6651095158784,46.9458878732091,0.75,0.75,0.900087152840572,0.897714900479153,0.00237225236141858,0.0109398755891089,0.315841679788573,505.221272629026,678.613941724662,46.7349585567187,0.5,0.31584145769566,381.000038748726,602.00958323845,34.8481857810985,0
"6","OF1",680,34,46.9458858275778,508,NA,0.333333333333333,1,21.6770189764229,46.9458878732091,0.75,0.75,0.900087152320222,0.884608002954289,0.0154791493659325,0.0313878601204074,0.600412247991091,497.369978039222,672.264159907311,46.1527521508758,0.504388276587326,0.600412247991091,337.180503662426,543.541783652783,31.8831272558325,-0.011
"7","Wieand1",680,34,46.9458858275778,508,NA,0.5,1,27.6651095158784,46.9458878732091,0.75,0.75,0.900087152320222,0.897714899370528,0.00237225294969345,0.0109398768856964,0.315841712736934,505.221271271033,678.613941560387,46.7349585317195,0.5,0.315841712736934,381,602.009582940384,34.8481857194027,0
"8","CP1AE",680,34,47.3436366162301,508,0.5,0.45,1,25.7959077862763,47.3424520723639,0.785302378680011,0.750003086505301,0.900079018096732,0.872053708943071,0.0280253091536605,0.0589735386065907,0.5,491.522793313319,670.323513022039,46.0717761110697,0.603972555213577,0.5,339.250068073326,565.842720493663,32.052580231254,NA
"9","CP1AN",680,34,47.3436366162301,508,0.5,0.45,1,25.7959077862763,47.3424520723639,0.785302378680011,0.750003086505301,0.900079018096732,0.872053708943071,0.0280253091536605,0.0589735386065907,0.5,491.522793313319,670.323513022039,46.0717761110697,0.603972555213577,0.5,339.250068073326,565.842720493663,32.052580231254,NA
"10","CP1AL",680,34,47.3436366162301,508,0.5,0.45,1,25.7959077862763,47.3424520723639,0.785302378680011,0.750003086505301,0.900079018096732,0.872053708943071,0.0280253091536605,0.0589735386065907,0.5,491.522793313319,670.323513022039,46.0717761110697,0.603972555213577,0.5,339.250068073326,565.842720493663,32.052580231254,NA
"11","Xi1",680,34,47.3436366162301,508,NA,0.4,1,23.9979394303293,47.3424520723639,0.789387728656264,0.750003086505301,0.900079018096732,0.829661884864491,0.0704171332322405,0.115923176103059,0.648410483948146,472.666615923788,656.810587423772,44.6362820223213,0.687933050582609,0.648410483948146,298.318006182421,526.534380552995,29.289923642501,-0.49
"12","KF1",680,34,47.3436366162301,508,NA,0.500000218000639,1,27.535773352332,47.3424520723639,0.781840689068076,0.750003086505301,0.900079018537614,0.892324423988595,0.00775459454901972,0.0249320127338071,0.315841561769232,501.667270609622,676.776676378123,46.8486317063017,0.5,0.31584132260889,381.000057713026,602.00960762087,34.848186995164,0
"13","OF1",680,34,47.3436366162301,508,NA,0.333333333333333,1,21.4886238225818,47.3424520723639,0.796180969261038,0.750003086505301,0.900079018096732,0.858882997752274,0.041196020344458,0.0705107937020786,0.600412247991091,484.120344532896,662.356258708499,45.5194781222346,0.504388276587326,0.600412247991091,337.180503662426,543.541783615567,31.8831272560458,-0.011
"14","Wieand1",680,34,47.3436366162301,508,NA,0.5,1,27.535773352332,47.3424520723639,0.781840689068076,0.750003086505301,0.900079018096732,0.892324417355605,0.00775460074112655,0.0249320224481757,0.315841712736934,501.667266298163,676.776675122205,46.8486315138923,0.5,0.315841712736934,381,602.009607368335,34.8481869428928,0
"15","CP1AE",680,34,47.8338497615028,508,0.3,0.55,1,29.0801155636353,47.8323266598184,0.815425957516648,0.750005513108437,0.900072622673464,0.872317278930682,0.0277553437427812,0.0662854020603169,0.3,492.847157089012,673.477669640906,46.589328807788,0.57976368273981,0.3,375.466022125679,608.213918649937,34.4010133860482,NA
"16","CP1AN",680,34,47.8338497615028,508,0.3,0.55,1,29.0801155636353,47.8323266598184,0.815425957516648,0.750005513108437,0.900072622673464,0.872317278930682,0.0277553437427812,0.0662854020603169,0.3,492.847157089012,673.477669640906,46.589328807788,0.57976368273981,0.3,375.466022125679,608.213918649937,34.4010133860482,NA
"17","CP1AL",680,34,47.8338497615028,508,0.3,0.55,1,29.0801155636353,47.8323266598184,0.815425957516648,0.750005513108437,0.900072622673464,0.872317278930682,0.0277553437427812,0.0662854020603169,0.3,492.847157089012,673.477669640906,46.589328807788,0.57976368273981,0.3,375.466022125679,608.213918649937,34.4010133860482,NA
"18","Xi1",680,34,47.8338497615028,508,NA,0.4,1,23.7921068692349,47.8323266598184,0.839368794584651,0.750005513108437,0.900072622673464,0.742309665921243,0.157762956752221,0.224211662222749,0.648410483948146,439.660285354506,634.22542626718,42.4422290203715,0.687933050582609,0.648410483948146,298.318006182421,526.53442939225,29.2899260851854,-0.49
"19","KF1",680,34,47.8338497615028,508,NA,0.500000346044454,1,33.3073402834994,47.8323266598184,0.801660665718346,0.750005513108437,0.900072623040687,0.897533371925678,0.00253925111500941,0.0200555163806792,0.0525133244254346,504.727638066381,679.72216703419,47.541020557619,0.5,0.31584109190689,381.000090154662,602.009649290603,34.8481890731823,0
"20","OF1",680,34,47.8338497615028,508,NA,0.333333333333333,1,21.2550206654889,47.8323266598184,0.854902280930735,0.750005513108437,0.900072622673464,0.793561180391603,0.106511442281861,0.156488005301934,0.600412247991091,455.002728871078,640.11127212656,43.6732970584667,0.504388276587326,0.600412247991091,337.180503662426,543.541783583454,31.8831272555863,-0.011
"21","Wieand1",680,34,47.8338497615028,508,NA,0.5,1,27.369701929799,47.8323266598184,0.822183761051352,0.750005513108437,0.900072622673464,0.874075286563616,0.0259973361098476,0.0593562696325331,0.315841712736934,492.923507513337,672.129004800022,46.6177415889541,0.5,0.315841712736934,381,602.009649080266,34.8481890296456,0
"22","CP1AE",680,34,47.7797501378515,508,0.35,0.5,1,27.385703278979,47.7752572096148,0.814501439773127,0.750016715454733,0.900043094771391,0.872659663020856,0.0273834317505353,0.0616620495701161,0.35,492.337839409191,671.842978154339,46.5179955244314,0.537460631786174,0.35,371.484999526312,596.166507728124,34.2003277862766,NA
"23","CP1AN",680,34,47.7797501378515,508,0.35,0.5,1,27.385703278979,47.7752572096148,0.814501439773127,0.750016715454733,0.900043094771391,0.872659663020856,0.0273834317505353,0.0616620495701161,0.35,492.337839409191,671.842978154339,46.5179955244314,0.537460631786174,0.35,371.484999526312,596.166507728124,34.2003277862766,NA
"24","CP1AL",680,34,47.7797501378515,508,0.3,0.6,1,30.7615445676254,47.7752572096148,0.803206843519678,0.750016715454733,0.900043094771391,0.873394317986351,0.0266487767850401,0.0687728236984349,0.3,494.025362224478,675.545645509881,46.6051761496314,0.665661131464761,0.3,372.737658086361,618.49836149642,34.0996037640571,NA
"25","Xi1",680,34,47.7797501378515,508,NA,0.4,1,23.8136152161544,47.7752572096148,0.829524653527631,0.750016715454733,0.900043094771391,0.76279611965359,0.137246975117801,0.199857390178406,0.648410483948146,447.083467473622,639.283514434952,42.9863459764125,0.687933050582609,0.648410483948146,298.318006182421,526.534426057668,29.2899259184261,-0.49
"26","KF1",680,34,47.7797501378515,508,NA,0.500000329722468,1,27.385703278979,47.7752572096148,0.814501439773127,0.750016715454733,0.900043095140753,0.878929267404137,0.0211138277366166,0.0510236124546936,0.315841221556796,495.040010155943,673.250293748925,46.734908511734,0.5,0.315841121306001,381.000086010941,602.009643975325,34.8481888075569,0
"27","OF1",680,34,47.7797501378515,508,NA,0.333333333333333,1,21.2823868882436,47.7752572096148,0.842752990140561,0.750016715454733,0.900043094771391,0.810463530611741,0.0895795641596502,0.135203647698258,0.600412247991091,462.211031312857,645.610646345507,44.1933245041685,0.504388276587326,0.600412247991091,337.180503662426,543.541783586375,31.8831272556844,-0.011
