"","rule.id","a.rule","p.rule","qk","qK","tk","tK","AHRk.H1","AHRK.H1","gk","H0.pr.S","H1.pr.S","H0.cpk","H1.cpk","H1.pow.nbind","H1.pow.bind","H1.powloss","H0.AE","H1.AE","H0.AN","H1.AN","H0.AL","H1.AL"
"CP1AE",148,1,1,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.55,0.72741718205177,0.064491966929067,0.55,0.55,0.900085213430627,0.870963115947228,0.0291220974833994,323.23603575885,491.619040400017,496.738029618025,665.121555613636,44.3013750345805,63.2529624378227
"CP1AN",131,1,1,0.45,1,36.9857170187301,64.880520736181,0.768675554107393,0.750000735721012,0.55,0.656366611044713,0.0563353180052555,0.55,0.55,0.900085213430627,0.873693278815874,0.0263919346147529,324.611168874107,492.259912149332,495.658686278476,665.306141228655,44.3290512930309,63.3090580980642
"CP1AL",148,1,1,0.5,1,39.6439156850685,64.880520736181,0.766105473461402,0.750000735721012,0.55,0.72741718205177,0.064491966929067,0.55,0.55,0.900085213430627,0.870963115947228,0.0291220974833994,323.23603575885,491.619040400017,496.738029618025,665.121555613636,44.3013750345805,63.2529624378227
